Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
68645-606,Enalapril maleate,"Legacy Pharmaceutical Packaging, LLC",10,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]",$36.89,5
61919-824,TOPIRAMATE,DIRECT RX,25,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$27.81,63
0591-4910,Trientine Hydrochloride,"Actavis Pharma, Inc.",250,mg/1,"Metal Chelating Activity [MoA], Metal Chelator [EPC]",$130.56,59
69238-1061,Desipramine,Amneal Pharmaceuticals NY LLC,100,mg/1,Tricyclic Antidepressant [EPC],$9.45,43
24208-670,sulfacetamide sodium,Bausch & Lomb Incorporated,100,mg/mL,"Sulfonamide Antibacterial [EPC], Sulfonamides [CS]",$35.03,73
49999-150,Triamcinolone Acetonide,Lake Erie Medical DBA Quality Care Products LLC,1,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$18.25,62
25021-132,Levofloxacin,Sagent Pharmaceuticals,5,mg/mL,,$4.55,45
76282-115,Lamivudine and Zidovudine,Exelan Pharmaceuticals Inc.,150; 300,mg/1; mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleoside Reverse Transcriptase Inhibitors [MoA]",$215.53,35
72162-1150,allopurinol,Bryant Ranch Prepack,300,mg/1,"Xanthine Oxidase Inhibitor [EPC], Xanthine Oxidase Inhibitors [MoA]",$54.98,37
68001-183,quetiapine,BluePoint Laboratories,300,mg/1,Atypical Antipsychotic [EPC],$42.67,29
68999-625,Doxycycline Hyclate,"Chartwell Governmental & Specialty RX, LLC",50,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$44.53,4
69238-1175,Isotretinoin,Amneal Pharmaceuticals NY LLC,20,mg/1,"Retinoid [EPC], Retinoids [CS]",$9.36,89
60429-839,Nitroglycerin,"Golden State Medical Supply, Inc.",0.3,mg/1,"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",$101.32,18
68788-7831,Lisinopril,Preferred Pharmaceuticals Inc.,20,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$46.84,14
63323-262,HEPARIN SODIUM,"Fresenius Kabi USA, LLC",5000,[USP'U]/mL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",$31.48,41
71654-005,Oxygen,"SOUTHERN GAS AND SUPPLY, INC. dba Gas and Supply",995,mL/L,,$106.72,13
66467-2260,Sodium Fluoride,"Darby Dental Supply, LLC",5.6,g/454g,,$4.75,37
72078-002,Norepinephrine bitartrate,Mylan Institutional LLC,1,mg/mL,"Catecholamine [EPC], Catecholamines [CS]",$29.80,9
43547-047,tadalafil,"Solco Healthcare US, LLC",2.5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$41.39,54
0641-6110,Sufentanil Citrate,West-Ward Pharmaceuticals Corp.,0.05,mg/mL,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$35.14,5
71205-968,bupropion hydrochloride,Proficient Rx LP,300,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$25.00,96
0548-9601,neostigmine methylsulfate,"Amphastar Pharmaceuticals, Inc.",0.5,mg/mL,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$36.46,89
65841-677,Naproxen,Zydus Lifesciences Limited,375,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$23.71,79
55111-289,Naproxen and esomeprazole magnesium,Dr. Reddy's Laboratories Limited,20; 375,mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$20.33,7
70518-2445,ENALAPRIL MALEATE,REMEDYREPACK INC.,2.5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]",$89.09,21
68788-7715,Diclofenac Sodium,"Preferred Pharmaceuticals, Inc.",16.05,mg/mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",$89.24,89
71335-1609,METRONIDAZOLE,Bryant Ranch Prepack,500,mg/1,"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",$0.10,30
71205-619,GABAPENTIN,Proficient Rx LP,400,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$13.11,2
70518-1114,Nystatin and Triamcinolone Acetonide,REMEDYREPACK INC.,100000; 1,[USP'U]/g; mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Polyene Antifungal [EPC], Polyenes [CS]",$87.08,96
42291-696,Quetiapine,AvKARE,50,mg/1,Atypical Antipsychotic [EPC],$13.34,25
0527-1669,Oxycodone and Acetaminophen,"Lannett Company, Inc.",325; 5,mg/1; mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$8.17,15
70518-2258,AMITRIPTYLINE HYDROCHLORIDE,REMEDYREPACK INC.,150,mg/1,Tricyclic Antidepressant [EPC],$65.11,99
80603-101,TESTOSTERONE UNDECANOATE,Marius Pharmaceuticals,100,mg/1,"Androgen Receptor Agonists [MoA], Androgen [EPC], Androstanes [CS]",$85.78,93
49884-171,colchicine,"Par Pharmaceutical, Inc.",0.6,mg/1,"Alkaloid [EPC], Alkaloids [CS], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Interactions [MoA]",$4.29,35
65219-146,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, and POTASSIUM CHLORIDE","Fresenius Kabi USA, LLC",50; 2.24; 4.5,g/1000mL; g/1000mL; g/1000mL,"Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",$160.68,47
0904-6917,Omeprazole,Major Pharmaceuticals,20,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$10.96,52
42291-741,Sodium Fluoride,AvKARE,5,mg/mL,,$10.15,55
70756-427,doxepin hydrochloride,Lifestar Pharma LLC,75,mg/1,Tricyclic Antidepressant [EPC],$57.24,74
71858-0145,Levothyroxine Sodium,IBSA Pharma Inc.,137,ug/mL,"Thyroxine [CS], l-Thyroxine [EPC]",$40.39,19
70436-039,guanfacine,"Slate Run Pharmaceuticals, LLC",1,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$50.61,65
0338-0326,thrombin topical recombinant,Baxter Healthcare Corporation,,,,$143.68,55
70377-056,esomeprazole magnesium,"Biocon Pharma Inc.,",40,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$106.84,35
69539-115,Decitabine,MSN LABORATORIES PRIVATE LIMITED,50,mg/10mL,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$23.28,73
0527-1326,Ursodiol,"Lannett Company, Inc.",300,mg/1,"Bile Acid [EPC], Bile Acids and Salts [CS]",$78.29,97
0074-3642,leuprolide acetate,AbbVie Inc.,,,,$42.87,95
43602-984,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate, and amphetamine sulfate","Ascent Pharmaceuticals, Inc.",2.5; 2.5; 2.5; 2.5,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$69.39,93
50111-560,Trazodone Hydrochloride,"Teva Pharmaceuticals USA, Inc.",50,mg/1,Serotonin Reuptake Inhibitor [EPC],$105.36,1
0574-4190,Sulfacetamide Sodium,Padagis US LLC,100,mg/g,"Sulfonamide Antibacterial [EPC], Sulfonamides [CS]",$45.08,20
68788-8217,Doxycycline Hyclate,Preferred Pharmaceuticals Inc,100,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$20.46,98
43598-588,Difluprednate Ophthalmic,Dr. Reddy's Laboratories Inc.,0.5,mg/mL,,$152.78,50
0143-9261,Cefazolin,West-Ward Pharmaceuticals Corp,10,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$73.48,85
72789-306,Montelukast Sodium,"PD-Rx Pharmaceuticals, Inc.",10,mg/1,"Leukotriene Receptor Antagonist [EPC], Leukotriene Receptor Antagonists [MoA]",$2.88,95
0378-0052,pindolol,Mylan Pharmaceuticals Inc.,5,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$12.04,69
57237-122,warfarin sodium,"Rising Health, LLC",3,mg/1,"Vitamin K Antagonist [EPC], Vitamin K Inhibitors [MoA]",$123.47,40
63402-010,apomorphine hydrochloride,Sunovion Pharmaceuticals Inc.,10,mg/1,"Dopamine Agonists [MoA], Dopaminergic Agonist [EPC]",$25.92,6
60687-655,Fenofibrate,American Health Packaging,54,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC],$121.05,37
68180-526,Paliperidone,"Lupin Pharmaceuticals, Inc.",9,mg/1,Atypical Antipsychotic [EPC],$13.98,75
68001-501,Metoprolol Succinate ER Tablets,BluePoint Laboratories,50,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$45.96,97
69117-0003,Anastrozole Tablets,"Yiling Pharmaceutical, Inc.",1,mg/1,"Aromatase Inhibitor [EPC], Aromatase Inhibitors [MoA]",$0.88,31
60846-802,levothyroxine sodium,Amneal Pharmaceuticals LLC,50,ug/1,"Thyroxine [CS], l-Thyroxine [EPC]",$87.63,10
63187-648,"neomycin sulfate, polymyxin b sulfate and hydrocortisone",Proficient Rx LP,10; 3.5; 10000,mg/mL; mg/mL; [USP'U]/mL,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",$117.48,74
50090-5079,Clobetasol Propionate,A-S Medication Solutions,0.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$67.60,76
65862-915,Zolmitriptan,Aurobindo Pharma Limited,5,mg/1,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",$52.45,88
68682-368,diltiazem hydrochloride,Oceanside Pharmaceuticals,180,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$81.59,79
68788-7938,Cephalexin,"Preferred Pharmaceuticals, Inc.",250,mg/5mL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$85.01,100
0143-9624,Paricalcitol,West-Ward Pharmaceuticals Corp,5,ug/mL,"Cholecalciferol [CS], Vitamin D3 Analog [EPC]",$10.93,65
67184-0523,Tadalafil,"Qilu Pharmaceutical Co., Ltd.",2.5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$13.13,49
65162-840,Valsartan,Amneal Pharmaceuticals LLC,320,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$135.98,63
52536-006,hydralazine hydrochloride and isosorbide dinitrate,Wilshire Pharmaceuticals,37.5; 20,mg/1; mg/1,"Arteriolar Vasodilation [PE], Arteriolar Vasodilator [EPC], Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",$7.46,43
68382-351,sirolimus,Zydus Pharmaceuticals USA Inc.,1,mg/1,"Decreased Immunologic Activity [PE], Kinase Inhibitor [EPC], Protein Kinase Inhibitors [MoA], mTOR Inhibitor Immunosuppressant [EPC], mTOR Inhibitors [MoA]",$93.14,92
71205-396,PREGABALIN,Proficient Rx LP,150,mg/1,,$84.65,36
63629-2234,Nitisinone,Bryant Ranch Prepack,2,mg/1,"4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor [EPC], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2E1 Inducers [MoA], Hydroxyphenylpyruvate Dioxygenase Inhibitors [MoA], Organic Anion Transporter 1 Inhibitors [MoA], Organic Anion Transporter 3 Inhibitors [MoA]",$54.11,78
66689-406,Pyridostigmine Bromide,"VistaPharm, Inc.",60,mg/5mL,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$168.80,19
55700-904,PREGABALIN,"Quality Care Products, LLC",300,mg/1,,$70.64,92
69452-343,Modafinil,Bionpharma Inc.,200,mg/1,"Central Nervous System Stimulation [PE], Increased Sympathetic Activity [PE], Sympathomimetic-like Agent [EPC]",$144.94,82
65162-148,Estradiol,Amneal Pharmaceuticals LLC,0.0375,mg/d,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC]",$84.29,74
0143-9514,DROPERIDOL,Hikma Pharmaceuticals USA Inc.,2.5,mg/mL,"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",$177.36,27
0168-0180,Desoximetasone,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,2.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$9.88,98
76204-600,Ipratropium Bromide and Albuterol Sulfate,"Ritedose Pharmaceuticals, LLC",2.5; .5,mg/3mL; mg/3mL,"Adrenergic beta2-Agonists [MoA], Anticholinergic [EPC], Cholinergic Antagonists [MoA], beta2-Adrenergic Agonist [EPC]",$143.97,33
55700-920,"Butalbital, Acetaminophen, and Caffeine","Quality Care Products, LLC",325; 50; 40,mg/1; mg/1; mg/1,"Barbiturate [EPC], Barbiturates [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Methylxanthine [EPC], Xanthines [CS]",$202.00,17
42799-962,"venlafaxine hydrochloride, extended release",Edenbridge Pharmaceuticals LLC.,150,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$71.53,19
52793-700,"arnica montana, calendula officinalis flowering top, echinacea angustifolia, st. johns wort, silver, sulfur, allylthiourea and urtica urens",PRINCETON BIOTECHNOLOGY CORPORATION,30; 30; 30; 30; 30; 30; 30; 30,[kp_C]/60mL; [kp_C]/60mL; [kp_C]/60mL; [kp_C]/60mL; [kp_C]/60mL; [kp_C]/60mL; [kp_C]/60mL; [kp_C]/60mL,,$119.61,56
72664-230,Dofetilide,VGYAAN Pharmaceuticals LLC,0.25,mg/1,Antiarrhythmic [EPC],$194.95,50
71335-9646,Atorvastatin calcium,Bryant Ranch Prepack,80,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$17.10,96
16571-830,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,"Rising Pharma Holdings, Inc.",50; 25,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$11.06,3
0781-3433,Linezolid,Sandoz Inc,600,mg/300mL,"Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",$51.91,57
70860-119,nafcillin sodium,"Athenex Pharmaceutical Division, LLC.",10,g/100mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$101.15,27
71335-1921,loperamide hydrochloride,Bryant Ranch Prepack,2,mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA]",$52.06,90
63629-3331,Ziprasidone Hydrochloride,Bryant Ranch Prepack,40,mg/1,Atypical Antipsychotic [EPC],$7.16,87
60760-352,Benazepril Hydrochloride,St. Mary's Medical Park Pharmacy,20,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]",$62.48,91
64764-251,alogliptin and pioglitazone,"Takeda Pharmaceuticals America, Inc.",25; 15,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA], PPAR alpha [CS], PPAR gamma [CS], Peroxisome Proliferator Receptor alpha Agonist [EPC], Peroxisome Proliferator Receptor gamma Agonist [EPC], Peroxisome Proliferator-activated Receptor Activity [MoA], Thiazolidinedione [EPC], Thiazolidinediones [CS]",$16.64,60
58468-7820,Vandetanib,Genzyme Corporation,100,mg/1,"Kinase Inhibitor [EPC], Organic Cation Transporter 2 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Protein Kinase Inhibitors [MoA]",$116.77,81
0781-4004,Somatropin,Sandoz Inc,,,,$144.63,53
70710-1277,deferasirox,Zydus Pharmaceuticals USA Inc.,360,mg/1,"Cytochrome P450 1A2 Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Iron Chelating Activity [MoA], Iron Chelator [EPC]",$4.86,79
60429-588,Tramadol Hydrochloride,"Golden State Medical Supply, Inc.",50,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$90.24,13
45802-961,Clobetasol Propionate,Padagis Israel Pharmaceuticals Ltd,0.05,g/100mL,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$53.56,79
69516-005,Obeticholic Acid,Intercept Pharmaceuticals Inc,5,mg/1,"Farnesoid X Receptor Agonist [EPC], Farnesoid X Receptor Agonists [MoA]",$31.61,64
68180-775,"Amlodipine, Valsartan and Hydrochlorothiazide","Lupin Pharmaceuticals, Inc.",10; 25; 320,mg/1; mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$20.54,72
57664-596,DEXMEDETOMIDINE HYDROCHLORIDE,"Sun Pharmaceuticals Industries, Inc.",100,ug/mL,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC], General Anesthesia [PE]",$135.76,71
68001-451,Ziprasidone Hydrochloride,BluePoint Laboratories,40,mg/1,Atypical Antipsychotic [EPC],$43.63,9
71335-0360,Glyburide and Metformin Hydrochloride,Bryant Ranch Prepack,5; 500,mg/1; mg/1,"Biguanide [EPC], Biguanides [CS], Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$76.36,13
68071-2965,Alprazolam,"NuCare Pharmaceuticals,Inc.",0.5,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$63.17,80
63323-459,HEPARIN SODIUM,"Fresenius Kabi USA, LLC",10000,[USP'U]/mL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",$90.10,61
70661-006,(ezetimibe and atorvastatin),"Althera Pharmaceuticals, LLC",20.68; 10,mg/1; mg/1,"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$34.99,80
68788-7219,Fluvoxamine maleate,"Preferred Pharmaceuticals, Inc.",100,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$129.06,21
70752-139,Promethazine Hydrochloride and Codeine Phosphate,QUAGEN PHARMACEUTICALS LLC,10; 6.25,mg/5mL; mg/5mL,"Full Opioid Agonists [MoA], Opioid Agonist [EPC], Phenothiazine [EPC], Phenothiazines [CS]",$16.26,91
72189-137,OLMESARTAN MEDOXOMIL,direct rx,20,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$9.03,25
43602-986,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate, and amphetamine sulfate","Ascent Pharmaceuticals, Inc.",3.75; 3.75; 3.75; 3.75,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$32.17,84
50090-4696,Betamethasone Valerate,A-S Medication Solutions,1.2,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$13.10,99
68001-527,Azacitidine,BluePoint Laboratories,100,mg/1,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$20.27,67
70771-1201,Phentermine Hydrochloride,Zydus Lifesciences Limited,30,mg/1,"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",$71.66,32
72266-248,Sincalide,FOSUN PHARMA USA INC,5,ug/5mL,"Cholecystokinin Analog [EPC], Cholecystokinin [CS]",$13.00,63
72241-033,Nebivolol,Modavar Pharmaceuticals LLC,5,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$39.87,66
0074-7094,Atogepant,AbbVie Inc.,60,mg/1,"Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]",$96.34,66
23155-246,VENLAFAXINE,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,25,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$21.07,3
0904-6936,Paliperidone,Major Pharmaceuticals,6,mg/1,Atypical Antipsychotic [EPC],$63.88,98
50742-657,Estradiol and Norethindrone Acetate,"Ingenus Pharmaceuticals, LLC",1; .5,mg/1; mg/1,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",$0.82,86
64950-371,Hydrocodone Bitartrate and Homatropine Methylbromide,Genus Lifesciences Inc.,1.5; 5,mg/5mL; mg/5mL,"Opioid Agonist [EPC], Opioid Agonists [MoA]",$1.90,10
16714-152,Tiagabine Hydrochloride,Northstar Rx LLC,4,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$68.75,34
51655-489,Glimepiride,"Northwind Pharmaceuticals, LLC",4,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$95.49,67
0615-8124,Meloxicam,"NCS HealthCare of KY, LLC dba Vangard Labs",15,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$128.44,33
10631-003,isotretinoin,"Sun Pharmaceutical Industries, Inc.",16,mg/1,"Retinoid [EPC], Retinoids [CS]",$29.56,84
72205-048,CLOBAZAM,Novadoz Pharmaceuticals LLC,20,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA]",$41.95,64
71205-271,Desoximetasone,Proficient Rx LP,2.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$37.68,43
65841-627,Haloperidol,Zydus Lifesciences Limited,10,mg/1,Typical Antipsychotic [EPC],$209.31,13
72189-384,Gabapentin,Direct_Rx,100,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$4.88,97
71205-936,Miglitol,Proficient Rx LP,50,mg/1,"alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",$239.48,44
70518-2141,Rosuvastatin Calcium,REMEDYREPACK INC.,40,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$38.97,97
71335-0792,Donepezil hydrochloride,Bryant Ranch Prepack,10,mg/1,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$2.07,6
72572-481,Norepinephrine Bitartrate,"Civica, Inc.",1,mg/mL,"Catecholamine [EPC], Catecholamines [CS]",$160.30,91
50090-1933,Acetaminophen and Codeine Phosphate,A-S Medication Solutions,300; 30,mg/1; mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$26.37,64
70518-2385,spironolactone,REMEDYREPACK INC.,25,mg/1,"Aldosterone Antagonist [EPC], Aldosterone Antagonists [MoA]",$1.91,27
52544-694,Diltiazem Hydrochloride,"Actavis Pharma, Inc.",360,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$13.20,76
68788-7142,Dexamethasone,Preferred Pharmaceuticals Inc.,4,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$16.24,40
63539-436,abrocitinib,U.S. Pharmaceuticals,200,mg/1,,$221.12,57
68788-7549,AZITHROMYCIN,"Preferred Pharmaceuticals, Inc.",200,mg/5mL,"Macrolide Antimicrobial [EPC], Macrolides [CS]",$195.09,66
70518-3114,Terazosin Hydrochloride,REMEDYREPACK INC.,10,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$144.90,66
69452-153,Tacrolimus,"BionPharma Inc.,",0.5,mg/1,"Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA]",$40.25,32
43305-0000,Aluminum Chloride,Pearson Dental Supplies INC.,7500,mg/30mL,,$27.73,76
16714-115,Rivastigmine,Northstar Rx LLC.,4.6,mg/24h,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$9.03,87
60429-963,Guanfacine,"Golden State Medical Supply, Inc.",4,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$51.28,34
68022-0156,Glycopyrrolate Oral Solution,Suven Pharmaceuticals Limited,1,mg/5mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$201.20,95
65862-209,Minocycline Hydrochloride,Aurobindo Pharma Limited,50,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$87.64,53
43353-898,fenofibrate,"Aphena Pharma Solutions - Tennessee, LLC",160,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC],$2.20,34
